Объект;Должность;График работы;Оклад (тариф);Количество ставок;Тип оплаты;
Ашан-Сити ТАУ (Саратов);Прессовщик;5/2;23 000;1;оклад;
Ашан-Сити ТАУ (Саратов);Прессовщик;5/2;23 000;1;оклад;
Ашан-Сити ТАУ (Саратов);Прессовщик;5/2;23 000;1;оклад;
Ашан-Сити ТАУ (Саратов);Прессовщик;5/2;23 000;1;оклад;
Ашан-Сити ТАУ (Саратов);Менеджер;5/2;57 472;1;оклад;
Ашан-Сити ТАУ (Саратов);Сборщик тележек;5/2;23 000;1;оклад;
Ашан-Сити ТАУ (Саратов);Сборщик тележек;5/2;23 000;1;оклад;
Ашан-Сити ТАУ (Саратов);Сборщик тележек;5/2;23 000;1;оклад;
Ашан-Сити ТАУ (Саратов);Бригадир;5/2;23 000;1;оклад;
Ашан-Сити ТАУ (Саратов);Бригадир;5/2;23 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;3/4;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1/2;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1/2;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1/2;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1/2;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1/2;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1/2;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1/2;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1/4;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик производственных и служебных помещений;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Подсобный рабочий;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Подсобный рабочий;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Подсобный рабочий;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Подсобный рабочий;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Подсобный рабочий;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Гардеробщик;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Гардеробщик;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Гардеробщик;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Гардеробщик;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Гардеробщик;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик территории;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик территории;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик территории;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Уборщик территории;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Дворник;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Тракторист;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Тракторист;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Менеджер;5/2;91 955;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Прачка;5/2;24 000;1;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Оператор уборки;5/2;24 000;1/4;оклад;
КНАУФ ПЕТРОБОРД (Коммунар);Переплетчик;5/2;24 000;1/2;оклад;
КПМГ;Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
КПМГ;Уборщик производственных и служебных помещений;5/2;29 000;1/2;оклад;
Легион;Подсобный рабочий;5/2;29 000;1;оклад;
Легион;Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Петергофское шоссе);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Петергофское шоссе);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Петергофское шоссе);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Петергофское шоссе);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Петергофское шоссе);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Шушары);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Шушары);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Шушары);Подсобный рабочий;5/2;29 000;1;оклад;
Масштаб;Уборщик территорий;5/2;29 000;1;оклад;
Масштаб;Подсобный рабочий;5/2;29 000;1;оклад;
Мерседес;Подсобный рабочий;5/2;29 000;1;оклад;
Мерседес;Подсобный рабочий;5/2;29 000;1;оклад;
Мерседес;Подсобный рабочий;5/2;29 000;1;оклад;
Нью Сити;Уборщик производственных и служебных помещений;5/2;29 000;1/2;оклад;
Нью Сити;Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
Нью Сити;Уборщик производственных и служебных помещений;5/2;29 000;1/2;оклад;
Нью Сити;Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
Нью Сити;Уборщик производственных и служебных помещений;5/2;29 000;1/2;оклад;
Нью Сити;Менеджер по запуску;5/2;40 230;1;оклад;
Нью Сити;Водитель погрузчика;5/2;29 000;1;оклад;
Нью Сити;Уборщик территории;5/2;29 000;1;оклад;
Нью Сити;Тракторист;5/2;29 000;1;оклад;
ОЗОН (Бугры);Уборщик помещений;5/2;29 000;1;оклад;
ОЗОН (Бугры);Уборщик помещений;5/2;29 000;1;оклад;
ОЗОН (Бугры);Уборщик помещений;5/2;29 000;1;оклад;
ОЗОН (Бугры);Уборщик помещений;5/2;29 000;1;оклад;
ОЗОН (Бугры);Уборщик помещений;5/2;29 000;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;29 000;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;29 000;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;29 000;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;29 000;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;29 000;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;29 000;1;оклад;
ОЗОН (Бугры);Уборщик помещений;5/2;29 000;1;оклад;
ОЗОН (Бугры);Уборщик помещений;5/2;29 000;1;оклад;
ОЗОН (Бугры);Уборщик помещений;5/2;29 000;1;оклад;
ОЗОН (Бугры);Уборщик помещений;5/2;29 000;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;29 000;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;29 000;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;29 000;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;29 000;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;29 000;1;оклад;
ОЗОН (Бугры);Подсобный рабочий;5/2;29 000;1;оклад;
ОЗОН (Волхонское шоссе);Уборщик помещений;5/2;29 000;1;оклад;
ОЗОН (Волхонское шоссе);Подсобный рабочий;5/2;29 000;1;оклад;
ОП Березники (Уралкалий);Специалист по кадрам;5/2;100 000;1/2;оклад;
ОП Березники (Уралкалий);Руководитель проекта;5/2;149 980;1;оклад;
ОП Березники БКПРУ-2;Администратор;5/2;49 975;1;оклад;
ОП Березники БКПРУ-2;Прачка;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Прачка;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Швея;5/2;22 440;1;оклад;
ОП Березники БКПРУ-2;Швея;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1/4;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-3;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники БКПРУ-4;Администратор;5/2;50 000;1/2;оклад;
ОП Березники БКПРУ-4;Прачка;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Администратор;5/2;49 975;1;оклад;
ОП Березники БКПРУ-4 (рудник);Прачка;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1/4;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1/4;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1/4;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1/4;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1/4;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1/4;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1/4;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1/4;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1/4;оклад;
ОП Березники БКПРУ-4 (рудник);Оператор уборки;5/2;22 440;1;оклад;
ОП Березники БКПРУ-4 (рудник);Слесарь;5/2;22 440;1/4;оклад;
ОП Березники Управление;Подсобный рабочий;5/2;22 440;1;оклад;
ОП Березники Управление;Подсобный рабочий;5/2;22 440;1;оклад;
ОП Березники Управление;Подсобный рабочий;5/2;22 440;1;оклад;
ОП Березники Управление;Администратор;5/2;49 975;1;оклад;
ОП Березники Управление;Дворник;5/2;22 440;1;оклад;
ОП Березники Управление;Дворник;5/2;22 440;1;оклад;
ОП Березники Управление;Дворник;5/2;22 440;1;оклад;
ОП Березники Управление;Дворник;5/2;22 440;1;оклад;
ОП Березники Управление;Дворник;5/2;22 440;3/4;оклад;
ОП Березники Управление;Грузчик;5/2;22 440;1;оклад;
ОП Березники Управление;Прачка;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;3/4;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;3/4;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;3/4;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;3/4;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;3/4;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;3/4;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;3/4;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники Управление;Горничная;5/2;22 440;1;оклад;
ОП Березники Управление;Горничная;5/2;22 440;1/2;оклад;
ОП Березники Управление;Горничная;5/2;22 440;1;оклад;
ОП Березники Управление;Горничная;5/2;22 440;1;оклад;
ОП Березники Управление;Горничная;5/2;22 440;3/4;оклад;
ОП Березники Управление;Смотритель музея;5/2;22 440;1;оклад;
ОП Березники УЯР;Администратор;5/2;50 000;1;оклад;
ОП Березники УЯР;Прачка;5/2;22 440;1;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Березники УЯР;Оператор уборки;5/2;22 440;1/2;оклад;
ОП Невинномысский Азот;Администратор;5/2;27 000;1;оклад;
ОП Невинномысский Азот;Администратор;5/2;27 000;1;оклад;
ОП Невинномысский Азот;Администратор;5/2;27 000;1/2;оклад;
ОП Невинномысский Азот;Администратор;5/2;27 000;1;оклад;
ОП Невинномысский Азот;Водитель автомобиля;5/2;27 000;1;оклад;
ОП Невинномысский Азот;Управляющий;5/2;114 943;1;оклад;
ОП Невинномысский Азот;Инженер по охране труда;5/2;27 000;1/2;оклад;
ОП Невинномысский Азот, Заводоуправление;Оператор уборки;5/2;27 000;1;оклад;
ОП Невинномысский Азот, Заводоуправление;Оператор уборки;5/2;27 000;1/2;оклад;
ОП Невинномысский Азот, Заводоуправление;Оператор уборки;5/2;27 000;1/2;оклад;
ОП Невинномысский Азот, Заводоуправление;Оператор уборки;5/2;27 000;1/2;оклад;
ОП Невинномысский Азот, Заводоуправление;Оператор уборки;5/2;27 000;1/2;оклад;
ОП Невинномысский Азот, Заводоуправление;Оператор уборки;5/2;27 000;1/2;оклад;
ОП Невинномысский Азот, Заводоуправление;Оператор уборки;5/2;27 000;1/2;оклад;
ОП Невинномысский Азот, Заводоуправление;Оператор уборки;5/2;27 000;1/2;оклад;
ОП Невинномысский Азот, Заводоуправление;Оператор уборки;5/2;27 000;1/2;оклад;
ОП Невинномысский Азот, Заводоуправление;Оператор уборки;5/2;27 000;1/2;оклад;
ОП Невинномысский Азот, Заводоуправление;Оператор уборки;5/2;27 000;1/2;оклад;
ОП Невинномысский Азот, Заводоуправление;Оператор уборки;5/2;27 000;1/2;оклад;
ОП Невинномысский Азот, Заводоуправление;Оператор уборки;5/2;27 000;1/2;оклад;
ОП Невинномысский Азот, Заводоуправление;Оператор уборки;5/2;27 000;1/2;оклад;
ОП Невинномысский Азот, Заводоуправление;Оператор уборки;5/2;27 000;1;оклад;
ОП Невинномысский Азот, Территория;Подсобный рабочий;5/2;27 000;1/2;оклад;
ОП Невинномысский Азот, Территория;Подсобный рабочий;5/2;27 000;1/4;оклад;
ОП Невинномысский Азот, Территория;Подсобный рабочий;5/2;27 000;1;оклад;
ОП Невинномысский Азот, Территория;Подсобный рабочий;5/2;27 000;1/2;оклад;
ОП Невинномысский Азот, Территория;Подсобный рабочий;5/2;27 000;1;оклад;
ОП Невинномысский Азот, Территория;Подсобный рабочий;5/2;27 000;1;оклад;
ОП Невинномысский Азот, Территория;Подсобный рабочий;5/2;27 000;1;оклад;
ОП Невинномысский Азот, Территория;Подсобный рабочий;5/2;27 000;1;оклад;
